taille	seq	seq_piv	adj	adj_piv	cyclic	cyclic_piv	cart

600	144.00	150.00	238.59	1402.43	272.53	1149.44	180.00
1200	900.00	646.00	686.41	2487.22	800.66	2460.80	481.52
1800	2554.00	2560.00	1354.99	3986.95	1457.15	4076.69	1596.70
2400	6298.00	6380.00	2370.27	5877.45	2349.14	6134.99	2790.68
3000	12564.00	12646.00	3740.311	8466.13	3986.53	9069.08	4451.54
3600	22516.00	23096.00	5545.11	11514.61	5544.34	11734.38	7473.94
4200	39104.00	39648.00	7725.77	16702.70	7903.90	15957.55	12985.06
4800	57214.00	58118.00	12032.52	21961.79	10636.36	20535.12	16321.39
5400	487836.00	81996.00	15268.05	28960.78	14629.14	26050.16	21268.06
6000	116182.00	111878.00	22125.61	36749.59	18930.55	34002.65	32024.31
6600	150456.00	147795.00	28610.95	46104.86	25956.24	42804.06	42667.00
7200	180370.00	164015.00	36316.61	58544.23	32528.77	52619.93	51949.99
7800	210090.00	218315.00	48201.49	71244.06	41082.30	60995.61	70993.46
8400	277252.50	278467.50	63240.01	82108.22	48141.85	72244.99	87997.58
9000	340340.00	341587.50	71683.34	97409.08	57205.19	85498.44	106487.50
